Mês;PIB;Inflação;Taxa de Juros;Taxa de Câmbio;Patentes;Saldo de emprego
jan-05;1,4;0,58;17,93;2,69;94;Positivo
fev-05;1,4;0,59;15,64;2,6;68;Positivo
mar-05;1,4;0,61;19,96;2,7;95;Positivo
abr-05;1,5;0,87;18,32;2,58;109;Positivo
mai-05;1,5;0,49;19,61;2,45;92;Positivo
jun-05;1,5;-0,02;20,78;2,41;107;Positivo
jul-05;0,7;0,25;19,72;2,37;89;Positivo
ago-05;0,7;0,17;21,82;2,36;83;Positivo
set-05;0,7;0,35;19,61;2,29;89;Positivo
out-05;0,73;0,75;18,26;2,26;99;Positivo
nov-05;0,73;0,55;17,89;2,21;96;Negativo
dez-05;0,73;0,36;19,19;2,29;113;Negativo
jan-06;1,43;0,59;18,57;2,27;83;Positivo
fev-06;1,43;0,41;14,64;2,16;81;Positivo
mar-06;1,43;0,43;18,47;2,15;85;Positivo
abr-06;0,77;0,21;13,73;2,13;94;Positivo
mai-06;0,77;0,1;16,51;2,18;88;Positivo
jun-06;0,77;-0,21;15,18;2,25;107;Positivo
jul-06;1,5;0,19;14,98;2,19;127;Positivo
ago-06;1,5;0,05;16,16;2,16;104;Positivo
set-06;1,5;0,21;13,45;2,17;103;Positivo
out-06;1,6;0,33;13,95;2,15;117;Positivo
nov-06;1,6;0,31;12,96;2,16;103;Positivo
dez-06;1,6;0,48;12,52;2,15;129;Negativo
jan-07;1,73;0,44;13,8;2,14;76;Positivo
fev-07;1,73;0,44;10,99;2,1;70;Positivo
mar-07;1,73;0,37;13,38;2,09;110;Positivo
abr-07;2,16;0,25;11,95;2,03;112;Positivo
mai-07;2,16;0,28;13,06;1,98;116;Positivo
jun-07;2,18;0,28;11,43;1,93;120;Positivo
jul-07;1,97;0,24;12,32;1,88;108;Positivo
ago-07;1,97;0,47;12,58;1,97;135;Positivo
set-07;1,97;0,18;10,1;1,9;93;Positivo
out-07;2,2;0,3;11,74;1,8;133;Positivo
nov-07;2,2;0,38;10,62;1,77;107;Negativo
dez-07;2,2;0,74;10,62;1,79;107;Negativo
jan-08;2,06;0,54;11,74;1,77;109;Positivo
fev-08;2,06;0,49;10,06;1,73;97;Positivo
mar-08;2,08;0,48;10,62;1,71;118;Positivo
abr-08;2,1;0,55;11,37;1,69;152;Positivo
mai-08;2,1;0,79;11,04;1,66;117;Positivo
jun-08;2,1;0,74;12,09;1,62;128;Positivo
jul-08;2,33;0,53;13,62;1,59;147;Positivo
ago-08;2,33;0,28;12,92;1,61;137;Positivo
set-08;2,34;0,26;14,07;1,8;144;Positivo
out-08;0,33;0,45;15,06;2,17;163;Positivo
nov-08;0,33;0,36;12,95;2,27;133;Positivo
dez-08;0,34;0,28;14,36;2,39;159;Negativo
jan-09;-0,8;0,48;13,32;2,31;124;Positivo
fev-09;-0,8;0,55;10,76;2,31;129;Positivo
mar-09;-0,8;0,2;12,29;2,31;155;Positivo
abr-09;-0,73;0,48;10,55;2,21;159;Positivo
